ID,Park,Word_count,Sentiment_value,Polarity,anger,anticipation,disgust,fear,joy,sadness,surprise,trust
148,GRNP,9,2,Positive,0,2,0,0,2,0,1,1
149,GRNP,5,2,Positive,0,1,0,0,1,0,0,0
150,KNP,4,0,Neutral,0,0,0,0,0,0,0,0
151,GRNP,4,1,Positive,0,1,0,0,1,0,0,0
152,GRNP,4,0,Neutral,0,0,0,0,1,0,0,0
153,KNP,4,2,Positive,0,0,0,0,2,0,0,0
154,KNP,5,0,Neutral,0,0,0,0,0,0,0,0
155,KNP,5,0,Neutral,0,0,0,0,0,0,0,0
156,KNP,5,0,Neutral,0,0,0,0,0,0,0,0
157,KNP,5,0,Neutral,0,0,0,0,0,0,0,0
158,AENP,9,1,Positive,0,0,0,0,0,0,0,0
159,AENP,13,0,Neutral,0,0,0,0,0,0,0,0
160,AENP,12,-1,Negative,0,0,0,0,0,1,0,0
161,KNP,8,0,Neutral,0,0,0,0,0,0,0,0
162,KNP,13,0,Neutral,0,0,0,0,0,0,0,0
163,KNP,3,1,Positive,0,0,0,0,1,0,0,0
164,KNP,4,0,Neutral,0,0,0,0,0,0,0,0
165,KNP,7,3,Positive,0,3,0,1,2,0,0,2
166,KNP,6,1,Positive,0,1,0,0,0,0,0,0
167,KNP,7,1,Positive,0,1,0,0,0,0,0,0
168,KNP,2,0,Neutral,0,0,0,0,0,0,0,0
169,KNP,3,0,Neutral,0,0,0,0,0,0,0,0
170,KNP,2,1,Positive,0,0,0,0,1,0,0,0
171,KNP,1,0,Neutral,0,0,0,0,0,0,0,0
172,KNP,21,0,Neutral,0,0,0,0,0,0,1,0
173,KNP,7,0,Neutral,0,0,0,0,0,0,0,0
174,KNP,6,-1,Negative,0,0,1,0,0,0,0,0
175,KNP,7,-1,Negative,0,0,1,0,0,0,0,0
176,KNP,4,0,Neutral,0,0,0,0,0,0,0,0
177,KNP,9,-1,Negative,1,0,1,0,0,0,0,0
178,KNP,2,0,Neutral,0,0,0,0,0,0,0,0
179,KNP,0,0,Neutral,0,0,0,0,0,0,0,0
180,KNP,12,1,Positive,0,1,0,0,0,0,0,1
181,KNP,2,-1,Negative,0,0,0,0,0,0,1,0
182,KNP,5,-1,Negative,1,0,0,1,0,0,0,0
183,KNP,16,2,Positive,0,0,0,0,0,0,0,0
184,KNP,19,2,Positive,0,0,0,0,0,1,0,0
185,KNP,24,1,Positive,0,0,0,0,0,0,0,0
186,KNP,4,-1,Negative,0,0,0,0,0,1,0,0
187,KNP,6,-1,Negative,0,0,0,0,0,0,0,0
188,KNP,7,-1,Negative,0,0,0,0,0,0,0,0
189,KNP,4,0,Neutral,0,0,0,0,0,0,0,0
190,KNP,2,-1,Negative,0,0,1,0,0,0,0,0
191,KNP,32,0,Neutral,0,0,0,0,0,0,0,0
192,KNP,25,0,Neutral,0,0,0,0,0,0,0,0
193,KNP,2,0,Neutral,0,0,0,0,0,1,0,0
194,KNP,20,0,Neutral,0,0,0,0,0,0,0,0
195,KNP,7,2,Positive,0,0,0,1,2,0,1,0
196,KNP,22,0,Neutral,0,0,0,0,0,0,0,0
197,KNP,10,0,Neutral,0,0,0,0,0,0,0,0
198,KNP,4,-1,Negative,0,0,0,0,0,0,1,0
199,KNP,4,1,Positive,0,0,0,1,0,0,0,0
200,KNP,8,1,Positive,0,1,0,0,1,0,1,1
201,KNP,4,0,Neutral,0,0,0,1,0,0,0,0
202,KNP,14,0,Neutral,0,0,0,4,0,1,0,0
203,KNP,5,0,Neutral,0,0,0,0,0,0,0,0
204,KNP,26,1,Positive,0,0,0,0,0,1,0,0
205,KNP,23,1,Positive,0,0,1,1,1,0,0,1
206,KNP,35,3,Positive,0,0,0,0,0,1,0,0
207,KNP,14,-1,Negative,0,0,0,0,0,0,1,0
208,KNP,19,1,Positive,1,1,1,1,2,1,1,1
209,KNP,17,0,Neutral,0,0,0,0,0,0,0,0
210,KNP,3,0,Neutral,0,0,0,0,0,0,0,0
211,KNP,10,0,Neutral,0,0,0,0,0,0,0,0
212,TMNP,1,0,Neutral,0,0,0,0,0,0,0,0
213,TMNP,7,-1,Negative,0,0,0,0,0,0,1,0
214,TMNP,7,0,Neutral,0,0,0,0,0,0,0,0
215,TMNP,8,1,Positive,0,1,0,0,2,0,0,1
216,TMNP,1,0,Neutral,0,0,0,0,0,0,0,0
217,TMNP,12,1,Positive,0,0,0,0,0,1,0,0
218,TMNP,3,1,Positive,0,1,0,0,0,0,0,0
219,TMNP,5,0,Neutral,0,0,0,0,0,0,0,0
220,TMNP,3,0,Neutral,0,0,0,0,0,0,0,0
221,TMNP,7,1,Positive,0,0,0,0,1,0,0,0
222,TMNP,14,0,Neutral,0,1,0,1,1,0,0,0
223,TMNP,26,0,Neutral,0,0,0,0,1,0,0,0
224,TMNP,0,0,Neutral,0,0,0,0,0,0,0,0
225,TMNP,4,0,Neutral,0,0,0,0,0,0,0,0
226,TMNP,4,1,Positive,0,0,0,0,1,0,0,1
227,TMNP,5,0,Neutral,0,0,0,0,0,0,0,0
228,TMNP,4,1,Positive,0,0,0,0,0,0,0,0
229,TMNP,0,0,Neutral,0,0,0,0,0,0,0,0
230,TMNP,8,0,Neutral,0,0,0,0,0,0,0,0
231,TMNP,3,0,Neutral,0,0,0,0,1,0,0,0
232,TMNP,3,0,Neutral,0,0,0,0,0,0,0,0
233,TMNP,19,-1,Negative,0,1,0,0,0,1,0,0
234,TMNP,3,0,Neutral,0,0,0,0,0,0,0,0
235,TMNP,5,0,Neutral,0,0,0,0,0,0,0,0
236,TMNP,4,0,Neutral,0,0,0,0,0,0,0,0
237,TMNP,1,0,Neutral,0,1,0,0,0,0,1,0
238,TMNP,2,1,Positive,0,1,0,0,1,0,1,0
239,TMNP,7,1,Positive,0,0,0,0,1,0,0,0
240,TMNP,12,-1,Negative,0,0,1,1,0,0,0,0
241,TMNP,7,3,Positive,0,3,0,0,2,0,2,3
242,TMNP,13,0,Neutral,0,0,0,0,0,0,0,0
243,TMNP,5,0,Neutral,0,0,0,0,0,0,0,0
244,TMNP,3,0,Neutral,0,0,0,0,0,0,0,0
245,TMNP,5,0,Neutral,0,0,0,0,0,0,0,0
246,TMNP,27,2,Positive,0,0,0,0,0,0,0,0
247,TMNP,17,0,Neutral,0,0,0,0,0,0,0,0
248,TMNP,14,4,Positive,0,2,0,0,2,0,2,2
249,TMNP,7,0,Neutral,0,0,0,0,1,0,0,0
250,TMNP,2,0,Neutral,0,0,0,0,0,0,0,0
251,TMNP,8,1,Positive,0,0,0,0,0,0,0,0
252,TMNP,4,0,Neutral,0,0,0,0,0,0,0,0
253,TMNP,3,-1,Negative,0,0,0,0,0,1,0,0
254,TMNP,7,2,Positive,0,2,0,0,2,0,2,2
255,TMNP,7,-1,Negative,0,0,1,0,0,0,0,0
256,TMNP,8,1,Positive,0,0,0,0,0,0,0,1
257,GRNP,22,2,Positive,0,1,0,0,1,0,0,0
258,TMNP,8,1,Positive,0,1,0,0,1,0,2,1
259,AENP,3,0,Neutral,0,0,0,0,0,0,0,0
260,KNP,8,0,Neutral,0,0,0,0,0,0,0,0
261,KNP,5,1,Positive,0,1,0,1,1,0,0,0
262,KNP,11,0,Neutral,0,1,0,0,0,0,0,0
263,KNP,2,0,Neutral,0,0,0,0,0,0,0,0
264,KNP,12,-2,Negative,2,0,0,2,0,2,1,0
265,KNP,15,-1,Negative,1,0,0,1,0,0,0,0
266,KNP,6,0,Neutral,0,0,0,0,0,0,0,0
267,KNP,18,1,Positive,0,0,0,0,1,0,0,0
268,KNP,3,0,Neutral,0,0,0,0,0,0,0,0
269,KNP,9,1,Positive,0,0,0,0,1,0,1,1
270,KNP,5,1,Positive,0,0,0,0,1,0,0,0
271,KNP,4,0,Neutral,0,0,0,0,0,0,0,0
272,KNP,14,0,Neutral,0,0,0,0,0,0,0,0
273,KNP,17,1,Positive,0,0,0,0,1,0,0,0
274,KNP,33,0,Neutral,0,0,0,0,0,0,0,0
275,KNP,5,0,Neutral,0,0,0,0,0,0,0,0
276,KNP,26,1,Positive,0,0,0,0,1,0,0,0
277,KNP,5,0,Neutral,0,0,0,0,0,0,0,0
278,TMNP,3,0,Neutral,0,0,0,0,0,0,0,0
279,TMNP,3,0,Neutral,0,0,0,0,0,0,0,0
280,TMNP,3,0,Neutral,0,0,0,0,0,0,0,0
281,TMNP,6,2,Positive,0,0,0,0,1,0,0,0
282,TMNP,8,2,Positive,0,1,0,0,1,0,0,1
283,TMNP,7,1,Positive,0,0,0,0,0,0,0,1
284,TMNP,4,1,Positive,0,1,0,0,1,0,0,0
285,TMNP,5,0,Neutral,0,0,0,0,0,0,0,0
286,TMNP,9,2,Positive,0,0,0,0,1,0,0,1
287,TMNP,7,1,Positive,0,0,0,0,1,0,0,0
288,TMNP,7,0,Neutral,0,0,0,0,0,0,0,0
289,TMNP,6,1,Positive,0,1,0,0,1,0,0,0
290,TMNP,9,2,Positive,0,1,0,0,2,0,0,1
291,TMNP,10,1,Positive,0,1,0,0,1,0,0,0
292,TMNP,18,2,Positive,0,2,0,0,3,0,0,1
293,TMNP,5,1,Positive,0,1,0,0,1,0,0,0
294,TMNP,10,0,Neutral,0,0,0,0,0,0,0,0
295,TMNP,1,0,Neutral,0,0,0,0,0,0,0,0
296,TMNP,3,0,Neutral,0,0,0,0,1,0,0,0
297,TMNP,1,0,Neutral,0,0,0,0,0,0,0,0
298,TMNP,1,0,Neutral,0,0,0,0,0,0,0,0
299,TMNP,8,0,Neutral,0,1,0,0,0,0,0,0
300,TMNP,19,1,Positive,0,0,0,0,1,0,0,0
301,TMNP,9,1,Positive,0,1,0,0,1,1,0,1
302,TMNP,2,0,Neutral,0,0,0,0,0,0,0,0
303,TMNP,3,0,Neutral,0,0,0,0,0,0,0,0
304,TMNP,1,0,Neutral,0,0,0,0,0,0,0,0
305,TMNP,12,0,Neutral,0,0,0,0,2,0,1,0
306,TMNP,2,0,Neutral,0,0,0,0,0,0,0,0
307,TMNP,2,0,Neutral,0,0,0,0,0,0,0,0
308,TMNP,3,0,Neutral,0,0,0,0,0,0,0,0
309,TMNP,18,0,Neutral,0,0,0,0,1,0,0,0
310,TMNP,7,1,Positive,0,0,0,0,0,0,0,1
311,TMNP,5,0,Neutral,0,0,0,0,0,0,0,0
312,TMNP,49,4,Positive,0,3,0,1,2,0,3,2
313,TMNP,4,0,Neutral,0,0,0,0,0,0,0,0
314,TMNP,0,0,Neutral,0,0,0,0,0,0,0,0
315,TMNP,1,0,Neutral,0,0,0,0,0,0,0,0
316,TMNP,0,0,Neutral,0,0,0,0,0,0,0,0
317,TMNP,7,0,Neutral,0,0,0,0,0,0,0,0
318,TMNP,5,2,Positive,0,0,0,0,0,0,0,0
319,TMNP,12,2,Positive,0,1,0,0,1,0,1,0
320,TMNP,2,0,Neutral,0,0,0,0,0,0,0,0
321,TMNP,9,3,Positive,0,2,0,0,2,0,2,2
322,TMNP,3,0,Neutral,0,0,0,0,0,0,0,0
323,TMNP,14,1,Positive,0,1,0,0,1,0,0,1
324,TMNP,15,3,Positive,0,1,0,0,1,0,0,0
325,TMNP,7,0,Neutral,0,0,0,0,0,0,0,0
326,TMNP,7,0,Neutral,0,0,0,0,0,0,0,0
327,TMNP,14,0,Neutral,0,0,0,0,0,0,0,0
328,TMNP,9,0,Neutral,0,0,0,0,0,0,0,0
329,TMNP,2,1,Positive,0,0,0,0,0,0,0,0
330,TMNP,2,0,Neutral,0,0,0,0,0,0,0,0
331,GRNP,5,0,Neutral,0,0,0,0,0,0,0,0
332,GRNP,4,0,Neutral,0,0,0,0,0,0,0,0
333,GRNP,7,1,Positive,0,0,0,0,1,0,0,0
334,GRNP,7,1,Positive,0,0,0,0,1,0,0,0
